date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2021-12-08,2021,levp,1030247,Tyler Conklin,TE,5,1,
2021-12-04,2021,BurrowingMule,573215,Sony Michel,RB,23,2,2
2021-12-03,2021,Ryan505,535566,Latavius Murray,RB,3,1,
2021-12-01,2021,Ryan505,535566,Ronald Jones,RB,10,3,2
2021-12-01,2021,BurrowingMule,573215,Minnesota Vikings,D/ST,6,2,2
2021-12-01,2021,Iyano1911,689370,San Francisco 49ers,D/ST,5,1,
2021-12-01,2021,JGERK,573189,Matt Prater,K,3,1,
2021-12-01,2021,JGERK,573189,Carson Wentz,QB,3,1,
2021-12-01,2021,Joles,1173483,Taysom Hill,TE,3,1,
2021-12-01,2021,levp,1030247,Daniel Carlson,K,2,1,
2021-12-01,2021,SimonMiller,1029559,Allen Robinson,WR,1,1,
2021-11-24,2021,levp,1030247,Zach Ertz,TE,23,2,2
2021-11-24,2021,BurrowingMule,573215,Laviska Shenault,WR,6,2,2
2021-11-24,2021,Joles,1173483,Matt Breida,RB,5,1,
2021-11-24,2021,JGERK,573189,Chicago Bears,D/ST,3,1,
2021-11-24,2021,Joles,1173483,Rex Burkhead,RB,3,2,1
2021-11-24,2021,SimonMiller,1029559,Tevin Coleman,RB,1,1,
2021-11-17,2021,zach_montoya,769096,Mac Jones,QB,10,1,
2021-11-17,2021,madmax101010,1029198,Tyler Conklin,TE,10,1,
2021-11-17,2021,levp,1030247,Miami Dolphins,D/ST,1,2,1
2021-11-10,2021,JGERK,573189,Jordan Howard,RB,17,2,12
2021-11-10,2021,ajg21,573289,Carson Wentz,QB,15,1,
2021-11-10,2021,madmax101010,1029198,Donovan Peoples-Jones,WR,12,2,4
2021-11-10,2021,Joles,1173483,Rhamondre Stevenson,RB,8,2,3
2021-11-10,2021,Iyano1911,689370,Devonta Freeman,RB,3,2,2
2021-11-10,2021,Joles,1173483,Eno Benjamin,RB,2,1,
2021-11-03,2021,Chance145,1173487,Jeremy McNichols,RB,40,4,18
2021-11-03,2021,madmax101010,1029198,Carlos Hyde,RB,5,2,3
2021-11-03,2021,Joles,1173483,Pat Freiermuth,TE,2,2,2
2021-10-29,2021,Chance145,1173487,David Johnson,RB,60,3,11
2021-10-27,2021,ajg21,573289,C.J. Uzomah,TE,15,1,
2021-10-27,2021,JGERK,573189,Robert Tonyan,TE,13,1,
2021-10-27,2021,levp,1030247,Kenny Gainwell,RB,11,5,10
2021-10-27,2021,Joles,1173483,Tyler Bass,K,5,1,
2021-10-27,2021,SimonMiller,1029559,Samaje Perine,RB,4,2,1
2021-10-27,2021,Iyano1911,689370,Pittsburgh Steelers,D/ST,2,1,
2021-10-27,2021,Joles,1173483,Dallas Cowboys,D/ST,1,1,
2021-10-20,2021,Joles,1173483,Devonta Freeman,RB,34,1,
2021-10-20,2021,Joles,1173483,D'Ernest Johnson,RB,30,3,10
2021-10-20,2021,levp,1030247,Mark Ingram,RB,15,1,
2021-10-20,2021,madmax101010,1029198,Tua Tagovailoa,QB,8,1,
2021-10-20,2021,BurrowingMule,573215,Chris Evans,RB,4,1,
