date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2023-10-11,2023,levp,1030247,K.J. Osborn,WR,18,2,6
2023-10-11,2023,zach_montoya,769096,Justin Tucker,K,2,1,
2023-10-04,2023,Chance145,1173487,Michael Wilson,WR,25,2,6
2023-10-04,2023,JGERK,573189,Jaleel McLaughlin,RB,17,3,11
2023-10-04,2023,Chance145,1173487,C.J. Stroud,QB,15,3,11
2023-10-04,2023,Chance145,1173487,Jake Ferguson,TE,5,2,3
2023-10-04,2023,JGERK,573189,Washington Commanders,D/ST,1,1,
2023-09-27,2023,Ryan505,535566,Joshua Palmer,WR,22,4,7
2023-09-27,2023,Ryan505,535566,Antonio Gibson,RB,7,1,
2023-09-27,2023,madmax101010,1029198,Josh Downs,WR,7,1,
2023-09-27,2023,Iyano1911,689370,Marvin Mims,WR,5,2,5
2023-09-27,2023,SimonMiller,1029559,Quentin Johnston,WR,5,1,
2023-09-27,2023,Ryan505,535566,Brandon Aubrey,K,1,1,
2023-09-20,2023,ajg21,573289,Josh Reynolds,WR,20,6,11
2023-09-20,2023,SimonMiller,1029559,Matt Breida,RB,13,2,11
2023-09-20,2023,madmax101010,1029198,DeVante Parker,WR,11,1,
2023-09-20,2023,Joles,1173483,Tank Dell,WR,10,1,
2023-09-20,2023,Ryan505,535566,Jared Goff,QB,6,1,
2023-09-20,2023,madmax101010,1029198,Craig Reynolds,RB,6,2,5
