owner,keeper,pos,keeperCost,value2026,surplus
Alec,Chris Olave,WR,12,27,15.0
Andy,George Pickens,WR,20,26,6.0
Chance,Jahmyr Gibbs,RB,58,57,-1.0
Dawkins,Brock Bowers,TE,17,29,12.0
Derek,De'Von Achane,RB,41,37,-4.0
Gerk,Rashee Rice,WR,17,33,16.0
Ian,Puka Nacua,WR,58,55,-3.0
Joles,Tetairoa McMillan,WR,19,21,2.0
Peter,(keep none),,,,
Ryan,Javonte Williams,RB,13,22,9.0
Simon,Jaxon Smith-Njigba,WR,34,50,16.0
Zach,James Cook,RB,33,38,5.0
